Encounter_number,Range_ft,Camera_number,Camera_Confidence_level,Preprocess_time_ms,Inference_time_ms,Postprocess_time_ms
encounter_1071,635.1922398355732,2,0.8794160485267639,2.3462772369384766,12.58862018585205,1.0684728622436523
encounter_1076,910.1273796502483,4,0.8197510838508606,2.3186206817626953,11.79206371307373,1.1218786239624023
encounter_1094,1480.8281437641306,4,0,0,0,0
encounter_1095,1353.4775653881316,2,0.665471076965332,2.390623092651367,15.044093132019043,1.149296760559082
encounter_1099,447.36608598233806,1,0.8908672332763672,2.1882057189941406,10.735154151916504,0.8200407028198242
encounter_1108,667.1723696767941,4,0.8444991707801819,2.233266830444336,11.992692947387695,0.7630586624145508
encounter_1112,1387.7554827753752,3,0,0,0,0
encounter_1117,1076.2446534931564,5,0,0,0,0
encounter_1158,1354.7571416545309,2,0,0,0,0
encounter_1163,856.9704960988307,4,0,0,0,0
encounter_1164,963.2393412791649,1,0,0,0,0
encounter_1169,486.4213763770949,2,0,0,0,0
encounter_1178,1627.7476151428532,4,0.26831579208374023,2.4706125259399414,11.973142623901367,0.8233785629272461
encounter_1184,598.6222253654743,2,0.8529998064041138,2.3076534271240234,15.526294708251953,1.100301742553711
encounter_1186,534.9265405571863,1,0,0,0,0
encounter_1189,424.6137096730162,4,0.8750198483467102,2.294182777404785,12.44211196899414,4.707932472229004
encounter_1191,197.63220620372948,4,0,0,0,0
encounter_1234,778.0264548654326,5,0.7548431158065796,2.377033233642578,11.481523513793945,0.6376504898071289
encounter_1242,123.06468676183773,2,0,0,0,0
encounter_1250,1173.6429706652002,5,0.6949350237846375,2.31325626373291,14.909625053405762,1.2127161026000977
encounter_1252,841.9642178715999,2,0.7987066507339478,2.131223678588867,10.780811309814453,0.6834268569946289
encounter_1271,847.890716955584,4,0.853291928768158,2.235531806945801,10.882377624511719,0.6577968597412109
encounter_1302,1184.6845925498862,5,0,0,0,0
encounter_1315,1517.860881366463,5,0,0,0,0
encounter_1325,333.3933978532452,1,0,0,0,0
encounter_1330,682.6261897594887,5,0.7698441743850708,2.2689104080200195,10.633349418640137,0.6437301635742188
encounter_1354,687.9774212048918,4,0,0,0,0
encounter_1360,802.8924811446919,2,0.7067192792892456,3.414750099182129,11.404991149902344,0.9478330612182617
encounter_1379,1157.3889672208072,4,0.6806551814079285,2.118349075317383,14.957666397094727,1.1206865310668945
encounter_1384,1365.2453996315553,5,0.723160982131958,2.1772384643554688,15.284419059753418,1.052260398864746
encounter_1404,767.5313551571808,5,0.8236972093582153,2.182602882385254,13.600707054138184,1.316666603088379
encounter_1445,464.40088416828854,5,0,0,0,0
encounter_1469,1138.767222667549,5,0.48022255301475525,2.231478691101074,11.554121971130371,1.244664192199707
encounter_1471,194.09485814759063,5,0,0,0,0
encounter_1476,1052.4471059279908,1,0.4920026659965515,2.185225486755371,10.479927062988281,0.8084774017333984
encounter_1477,1100.8139683062877,2,0.8316164016723633,2.14993953704834,10.319828987121582,0.7230043411254883
encounter_1481,670.601195578027,3,0.8093317747116089,2.1997690200805664,14.583706855773926,1.0744333267211914
encounter_1496,1071.9286471871571,5,0,0,0,0
encounter_1500,665.6658628099892,4,0,0,0,0
encounter_1504,313.7316077718786,2,0.8951091766357422,2.185821533203125,15.420317649841309,1.0020732879638672
encounter_1505,900.1869425299973,1,0,0,0,0
encounter_1543,548.4670910594583,2,0,0,0,0
encounter_1550,972.4835860196945,3,0,0,0,0
encounter_1562,1160.8045576609004,1,0,0,0,0
encounter_1590,745.0712211498989,5,0,0,0,0
encounter_1594,597.121514532066,3,0,0,0,0
encounter_1608,457.36337128162376,2,0,0,0,0
encounter_1614,1045.1861575538146,3,0.815955400466919,2.2916793823242188,10.438919067382812,0.8140802383422852
encounter_1617,1382.9360083934803,5,0.4419272243976593,2.152085304260254,15.119791030883789,1.201033592224121
encounter_1622,1365.8676872056317,5,0.5379377603530884,2.2013187408447266,15.263795852661133,0.9355545043945312
encounter_1637,931.5593031213111,1,0,0,0,0
encounter_1662,593.318376750879,1,0.864521861076355,2.714991569519043,12.50767707824707,4.322171211242676
encounter_1663,1512.0351783974315,4,0.8318834900856018,2.1480321884155273,15.130162239074707,1.0306835174560547
encounter_1692,752.9230627775069,2,0,0,0,0
encounter_1714,594.1383132065888,3,0.9027789831161499,2.3250579833984375,11.465668678283691,1.0685920715332031
encounter_1736,992.9288896893804,2,0.7911773324012756,2.3040771484375,11.073946952819824,0.7021427154541016
encounter_1759,977.6547256942124,5,0,0,0,0
encounter_1784,1362.876652625929,3,0,0,0,0
encounter_1786,1264.7733086366889,3,0.8748091459274292,2.213597297668457,10.792732238769531,0.7393360137939453
